hashtags;timestamp;type;users_in_photo;user_id;likes
[u'mountains', u'ourplanetdaily', u'loves_pyrenees', u'natgeo', u'mountainsforlife', u'neverstopexploring', u'getoutside', u'mountainlocals', u'climbing', u'theoutbound', u'mountaineering', u'anayet', u'canon_official', u'naturegeography', u'weouthere', u'pyrenees', u'summit', u'moretoexplore', u'formigal', u'winteriscoming', u'bestmountainartists'];1447707979;image;1;273357946;4
[u'escaladores', u'alpinistas', u'navacerrada', u'monta\xf1a', u'mountaineering', u'alpinista', u'puertonavacerrada', u'climbing', u'alpinist', u'lapedriza', u'escalada', u'alpine', u'alpes', u'zonacumbre', u'pirineoaragones', u'pnsierranevada', u'lovetheoutdoors', u'pnsierradeguadarrama', u'instapirineos', u'sierranevadamountains', u'navacerradayguadarrama', u'monta\xf1erosca\xf1eros', u'trekking', u'igmonta\xf1a', u'sierranevada', u'alpinestars'];1447707956;image;0;2159698770;4
[u'climbing', u'baoudesaintjeannet', u'saintjeannet', u'france'];1447707955;image;0;232045798;3
[u'rockclimbing', u'stillgettingout', u'culdechien', u'climbing_pictures_of_instagram', u'aacgram', u'climbmoja', u'adventurestartshere', u'font', u'liveclimbrepeat', u'deadpointmag', u'climbing', u'flashfoxy', u'outdoorwomen', u'bouldering', u'bkb', u'fontainebleau', u'rockandice', u'climbingmagazine', u'thecliffscommunity', u'happyclimbing', u'climblikeagirl', u'dpm'];1447707949;image;0;1257079395;62
[u'building', u'training', u'bestday', u'lifestyle', u'parkour', u'roofs', u'iloveit', u'18floors', u'bestadrenalin', u'epichigh', u'climbing', u'brno'];1447707946;video;0;706825562;1
[u'enjoy', u'mountains', u'motivation', u'love', u'instagram', u'lifegoals', u'instalike', u'focus', u'see', u'journey', u'adventure', u'lovinglife', u'climbing', u'instadaily', u'livinglife', u'workhard', u'landscape', u'inspiration', u'lifestyle', u'success', u'world', u'life', u'instagood', u'start', u'nevergiveup', u'view'];1447707925;image;0;2240125685;8
[u'boulder', u'love', u'iloveclimbing', u'climbing_pictures_of_instagram', u'photography', u'hardcorephysiques', u'sports', u'gevx', u'climbing', u'workout', u'boreal', u'escalada', u'3porsemana', u'mountain', u'healthy', u'mulheresfit', u'crossfit', u'fit', u'womenclimber', u'fitnesshut', u'picoftheday', u'whportugal', u'girlspower', u'sportlifeportugal', u'menshealthportugal', u'eusouwh', u'fitness', u'womensoutdoor', u'bodylove', u'climber'];1447707917;video;0;276520704;8
[u'pachamama', u'wearestillwild', u'rei1440project', u'holistichealth', u'movementculture', u'rawmovement', u'climbing', u'getoutdoors', u'letscamp', u'gaia', u'functionaltraining', u'climbon', u'holistic', u'spiritualwarrior', u'movementmedicine', u'liveauthentic', u'movnat', u'movementtribe', u'awareness', u'movement'];1447707893;image;2;357310987;6
[u'glassbeach', u'hightide', u'sacxa', u'mensretreat', u'grandpaben', u'climbing', u'fortbragg', u'beach', u'xamen'];1447707857;image;0;7222050;3
[u'mountain', u'bursa', u'nature', u'climbing', u'travel', u'dolomite', u'uluda\u011f'];1447707848;image;0;34726866;9
[u'mountain', u'romania', u'hiking', u'nature', u'travel', u'donkey', u'climbing', u'byf', u'parang'];1447707844;image;0;916728027;8
